Código,Nome,Nome (Inglês),Nome Científico,Grupo,Marca
C0207T,"Hambúrguer de soja, grelhado, c/ óleo de soja, c/ sal","Grilled soy burger, with soy oil, with salt",,Leguminosas e derivados,
C0177F,"Hambúrguer, bovino, cru","Hamburger, beef, raw",,Carnes e derivados,
C0726F,"Hambúrguer, bovino, grelhado (c/ óleo de soja), c/ molho de tomate (tomate, c/ óleo, cebola e alho, c/ sal)","Hamburger, beef, grilled (with soy oil), with tomato sauce (with oil, onion and garlic, with salt)",,Carnes e derivados,
C0885F,"Hambúrguer, bovino, grelhado, à pizzaiolo (queijo muçarela, tomate, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ orégano, c/ sal","Hamburger, meet, grilled (mozzarella cheese, tomato, with tomato sauce (tomato, with oil, onion and garlic), with oregano, with salt",,Carnes e derivados,
C0178F,"Hambúrguer, bovino, industrializado, frito","Hamburger, beef, industrialized, fried in oil",,Carnes e derivados,
C0179F,"Hambúrguer, bovino, industrializado, grelhado","Hamburger, beef, industrialized, grilled",,Carnes e derivados,
C0173F,"Hambúrguer, cru (média diferentes tipos de carne)","Hamburger, raw (average of differents types of meat)",,Carnes e derivados,
C0175F,"Hambúrguer, frango, cru","Hamburger, chicken, raw",,Carnes e derivados,Sadia
C0176F,"Hambúrguer, frango, cru","Hamburger, chicken, raw",,Carnes e derivados,Seara
C0919F,"Hambúrguer, industrializado, frango, grelhado, s/ óleo","Hamburger, industrialized, chicken, grilled, without oil",,Carnes e derivados,
C0033T,"Hambúrguer, soja, s/ temperos, s/ sal, cru","Hamburger, soy protein, without spicy, unsalted, raw",Glycine max L.,Leguminosas e derivados,
C0738A,"Harumaki (rolinho primavera), camarão, frito, c/ sal","Harumaki, shrimp, fried, with salt",,Cereais e derivados,
C0739A,"Harumaki (rolinho primavera), frutos do mar, frito, c/ sal","Harumaki, seafood, fried, with salt",,Cereais e derivados,
C0737A,"Harumaki (rolinho primavera), peixe, frito, c/ sal","Harumaki, fish, fried, with sal",,Cereais e derivados,
C0252T,"Hómus, c/ grão de bico, s/ sal","Homus, with chickpeas, unsalted",,Leguminosas e derivados,
C0799B,"Hortelã, in natura","Spearmint, raw",Mentha spicata,Vegetais e derivados,
C0304E,Hot Filadélfia (Hot Roll),Hot Roll,,Pescados e Frutos do mar,
C0345B,"Inhame, c/ casca, cozido, drenado, c/ óleo de soja, c/ sal","Yam, unpeeled, cooked, drained, with soy oil, with salt",Colocasia esculenta,Vegetais e derivados,
C0347B,"Inhame, s/ casca, assado, s/ óleo, c/ sal","Yam, peeled, roasted, without oil, with salt",Colocasia esculenta,Vegetais e derivados,
C0346B,"Inhame, s/ casca, assado, s/ óleo, s/ sal","Yam, peeled, roasted, without oil, unsalted",Colocasia esculenta,Vegetais e derivados,
C0344B,"Inhame, s/ casca, cozido, drenado, c/ óleo de soja, s/ sal","Yam, peeled, cooked, drained, with soy oil, unsalted",Colocasia esculenta,Vegetais e derivados,
C0343B,"Inhame, s/ casca, cozido, drenado, s/ óleo, c/ sal","Yam, peeled, cooked, drained, without oil, with salt",Colocasia esculenta,Vegetais e derivados,
C0342B,"Inhame, s/ casca, cozido, drenado, s/ óleo, s/ sal","Yam, peeled, cooked, drained, without oil, unsalted",Colocasia esculenta,Vegetais e derivados,
C0025B,"Inhame, s/ casca, cru","Yam, unshelled, raw",Colocasia esculenta,Vegetais e derivados,
C0349B,"Inhame, s/ casca, refogado (c/ óleo, cebola e alho), c/ sal","Yam, peeled, braised (with oil, onion and garlic), with salt",Colocasia esculenta,Vegetais e derivados,
C0348B,"Inhame, s/ casca, refogado (c/ óleo, cebola e alho), s/ sal","Yam, peeled, braised (with oil, onion and garlic), unsalted",Colocasia esculenta,Vegetais e derivados,
C0073N,"Iogurte, frutas, diet","Yogurt, fruit, diet",,Alimentos para fins especiais,
C0134G,"Iogurte, grego, c/ frutas, integral","Yogurt, greek, with fruits, whole",,Leite e derivados,
C0133G,"Iogurte, grego, simples, integral","Yogurt, greek, plain, whole",,Leite e derivados,
C0011G,"Iogurte, integral (média de diferentes sabores)","Yogurt, whole (average of several flavours)",,Leite e derivados,
C0012G,"Iogurte, integral, ameixa","Yogurt, whole, plum",,Leite e derivados,
C0013G,"Iogurte, integral, coco","Yogurt, whole, coconut",,Leite e derivados,
C0014G,"Iogurte, integral, maçã","Yogurt, whole, apple",,Leite e derivados,
C0015G,"Iogurte, integral, maracujá","Yogurt, whole, passion fruit",,Leite e derivados,
C0017G,"Iogurte, integral, morango","Yogurt, whole, strawberry",,Leite e derivados,
C0019G,"Iogurte, integral, pêssego","Yogurt, whole, peach",,Leite e derivados,
C0018G,"Iogurte, integral, polpa de fruta, morango","Yogurt, whole, fruit pulp, strawberry",,Leite e derivados,
C0016G,"Iogurte, integral, salada de frutas","Yogurt, whole, fruit salad",,Leite e derivados,
C0021G,"Iogurte, natural","Yogurt, natural",,Leite e derivados,Vigor
C0020G,"Iogurte, natural (média de diferentes amostras)","Yogurt, natural (average of several samples)",,Leite e derivados,
C0110G,"Iogurte, natural, c/ aveia, flocos","Yogurt, natural, with oat, flakes",,Leite e derivados,
C0109G,"Iogurte, natural, c/ granola, caseira (aveia em flocos, flocos de milho, semente de chia e linhaça, coco, mel, oleagionosas - noz, castanha de caju e Brasil, amêndoa e avelã, damasco seco, uva passa, c/ óleo de milho, c/ canela)","Yogurt, natural, with cereals granola (flakes oat, corn flakes, chia and flax seed, coconut, honey, oilseeds - nut, cashew and Brazil nuts, almond and hazelnut, dried apricot, raisin, with corn oil, with cinnamon)",,Leite e derivados,
C0116G,"Iogurte, natural, c/ granola, caseira, simples (aveia em flocos, flocos de milho, semente de linhaça, castanha de caju e Brasil, damasco seco, uva passa e canela em pó)","Yogurt, natural, with cereals granola (flakes oat, corn flakes, flax seed, oilseeds - nut, cashew and Brazil nuts, dried apricot, raisin, with cinnamon)",,Leite e derivados,
C0022G,"Iogurte, natural, desnatado","Yogurt, natural, low fat",,Leite e derivados,
C0023G,"Iogurte, natural, desnatado","Yogurt, natural, low fat",,Leite e derivados,Vigor
C0112G,"Iogurte, natural, desnatado, c/ aveia, flocos","Yogurt, natural, low fat, with oat, flakes",,Leite e derivados,
C0111G,"Iogurte, natural, desnatado, c/ granola, caseira (aveia em flocos, flocos de milho, semente de chia e linhaça, coco, mel, oleagionosas - noz, castanha de caju e Brasil, amêndoa e avelã, damasco seco, uva passa, c/ óleo de milho, c/ canela)","Yogurt, natural, low fat, with cereals granola (flakes oat, corn flakes, chia and flax seed, coconut, honey, oilseeds - nut, cashew and Brazil nuts, almond and hazelnut, dried apricot, raisin, with corn oil, with cinnamon)",,Leite e derivados,
C0117G,"Iogurte, natural, desnatado, c/ granola, simples (aveia em flocos, flocos de milho, semente de linhaça, castanha de caju e Brasil, damasco seco, uva passa e canela em pó)","Yogurt, natural, low fat, with cereals granola (flakes oat, corn flakes, flax seed, oilseeds - nut, cashew and Brazil nuts, dried apricot, raisin, with cinnamon)",,Leite e derivados,
C0079C,"Jabuticaba, in natura","Brazilian fruit,´Jabuticaba´, raw",Myrciaria cauliflora Berg.,Frutas e derivados,
C0271C,"Jaca, cozida, s/ óleo, s/ sal","ackfruit, bolied, without oil, without salt",,Frutas e derivados,
C0059C,"Jaca, in natura","Jackfruit, raw",Artocarpus integrifolia L. f.,Frutas e derivados,
C0080C,"Jambo, in natura","Brazilian fruit,´Jambo´, raw",Eugenia malaccensis L.,Frutas e derivados,
C0715B,"Jambu, cru","Brazilian leaf, ´Jambu´, raw",Spilanthes oleracea L.,Vegetais e derivados,
C0060C,"Jamelão, in natura","Javabplum, jambolan, raw",Syzygium cumini Lamarck,Frutas e derivados,
C0145T,"Jardineira de carne de soja, c/ sal",Brazilian recipe,,Leguminosas e derivados,
C0146T,"Jardineira de carne de soja, s/ sal",Brazilian recipe,,Leguminosas e derivados,
C0488F,"Jardineira de frango, c/ sal","Vegetables and chicken, sauteed, with salt",,Carnes e derivados,
C0722B,"Jardineira de legumes, c/ carne bovina, / sal","Vegetables, sauteed, with meat beef, with salt",,Vegetais e derivados,
C0721B,"Jardineira de legumes, c/ sal","Vegetables, sauteed, with salt",,Vegetais e derivados,
C0282B,"Jiló, c/ casca, assado, s/ óleo, c/ sal","Scarlet eggplant, unpeeled, roasted, without oil, with salt",Solanum gilo,Vegetais e derivados,
C0281B,"Jiló, c/ casca, assado, s/ óleo, s/ sal","Scarlet eggplant, unpeeled, roasted, without oil, unsalted",Solanum gilo,Vegetais e derivados,
C0280B,"Jiló, c/ casca, cozido, drenado, c/ óleo de soja, c/ sal","Scarlet eggplant, unpeeled, cooked, drained, with soy oil, with salt",Solanum gilo,Vegetais e derivados,
C0279B,"Jiló, c/ casca, cozido, drenado, c/ óleo de soja, s/ sal","Scarlet eggplant, unpeeled, cooked, drained, with soy oil, unsalted",Solanum gilo,Vegetais e derivados,
C0278B,"Jiló, c/ casca, cozido, drenado, s/ óleo, c/ sal","Scarlet eggplant, unpeeled, cooked, drained, without oil, with salt",Solanum gilo,Vegetais e derivados,
C0277B,"Jiló, c/ casca, cozido, drenado, s/ óleo, s/ sal","Scarlet eggplant, unpeeled, cooked, drained, without oil, unsalted",Solanum gilo,Vegetais e derivados,
C0026B,"Jiló, c/ casca, cru","Scarlet eggplant, unpeeled, raw",Solanum gilo,Vegetais e derivados,
C0286B,"Jiló, c/ casca, frito (c/ óleo de soja), c/ sal","Scarlet eggplant, unpeeled, fried (with soy oil), with salt",Solanum gilo,Vegetais e derivados,
C0285B,"Jiló, c/ casca, frito (c/ óleo de soja), s/ sal","Scarlet eggplant, unpeeled, fried (with soy oil), unsalted",Solanum gilo,Vegetais e derivados,
C0284B,"Jiló, c/ casca, refogado (c/ óleo, cebola e alho), c/ sal","Scarlet eggplant, unpeeled, braised (with oil, onion and garlic), with salt",Solanum gilo,Vegetais e derivados,
C0283B,"Jiló, c/ casca, refogado (c/ óleo, cebola e alho), s/ sal","Scarlet eggplant, unpeeled, braised (with oil, onion and garlic), unsalted",Solanum gilo,Vegetais e derivados,
C0086B,"Jurubeba, crua","Brazilian leaf, ´Jurubeba´, raw",Solanum spp.,Vegetais e derivados,
C0128G,"Kefir, c/ leite de vaca integral, bebida fermentada brasileira","Brazilian kefir, with whole milk, fermented beverage",,Leite e derivados,
C0061C,"Kiwi, in natura","Kiwifruit, green, raw",Actinidia chinensis,Frutas e derivados,
C0471F,"Lagarto recheado com calabresa, c/ sal",Eye of round stuffed with calabrese,,Carnes e derivados,
C0472F,"Lagarto recheado com calabresa, s/ sal","Eye of round stuffed with calabrese, unsalted",,Carnes e derivados,
C0469F,"Lagarto recheado com cenoura, c/ sal","Eye of round stuffed with carrot, with salt",,Carnes e derivados,
C0470F,"Lagarto recheado com cenoura, s/ sal","Eye of round stuffed with carrot, unsalted",,Carnes e derivados,
C0563F,Lagarto recheado com presunto e queijo,Eye of round filled with ham and mozarella,,Carnes e derivados,
C0564F,Lagarto recheado com presunto e queijo,Eye of round filled with ham and mozarella,,Carnes e derivados,
C0053L,"Lanche brasileiro (biscoito, doce, maisena, c/ café, infusão 10%, c/ açúcar)","Brazilian snack (biscuit, sweet, corn starch, with coffee, 10% infusion, with sugar)",,Miscelânea,
C0052L,"Lanche brasileiro (bolo trigo, s/ cobertura e s/ recheio, c/ café, infusão 10%, c/ açúcar)","Brazilian snack (white cake, without topping and filling, with coffee, 10% infusion, with sugar)",,Miscelânea,
C0056L,"Lanche brasileiro (leite integral, c/ biscoito de maisena)","Brazilian snack (whole milk, with biscuit, sweet, corn starch)",,Miscelânea,
C0055L,"Lanche brasileiro (leite integral, c/ pão francês)","Brazilian snack (whole milk, with french bread)",,Miscelânea,
C0054L,"Lanche brasileiro (pão francês, c/ margarina, c/ sal, c/ café, infusão 10%, c/ açúcar)","Brazilian snack (french bread, with butter, with salt, with coffee, 10% infusion, with sugar)",,Miscelânea,
C0018C,"Laranja, Baía, in natura","Orange, ´Baía´, raw",Citrus sinensis,Frutas e derivados,
C0017C,"Laranja, in natura","Orange, raw",Citrus spp.,Frutas e derivados,
C0019C,"Laranja, Lima, in natura","Orange, ´Lima´, raw",Citrus sinensis (L.) Osbeck,Frutas e derivados,
C0020C,"Laranja, Pera, in natura","Orange, ´Pera´, raw",Citrus sinensis,Frutas e derivados,
C0021C,"Laranja, Seleta, in natura","Orange, ´Seleta´, raw",Citrus aurantium L.,Frutas e derivados,
C1025B,"Lasanha, abobrinha, c/ molho bolonhesa, caseira, c/ sal","Lasagna, zucchini, with bolognese sauce, homemade, with salt",,Vegetais e derivados,
C0682B,"Lasanha, berinjela, c/ frios, caseira, c/ sal","Lasagna, eggplant, mixed homemade, with salt",,Vegetais e derivados,
C0683B,"Lasanha, berinjela, c/ frios, caseira, s/ sal","Lasagna, eggplant, mixed homemade, unsalted",,Vegetais e derivados,
C0684B,"Lasanha, berinjela, c/ molho bolonhesa, caseira, c/ sal","Lasagna, eggplant, with bolognese sauce, homemade, with salt",,Vegetais e derivados,
C0395A,"Lasanha, bolonhesa, caseira, assada","Pasta, lasagna, bolognese, homemade, baked",,Cereais e derivados,
C0112A,"Lasanha, bolonhesa, congelada","Pasta, lasagna, bolognese, frozen",,Cereais e derivados,Sadia
C0099N,"Lasanha, cogumelos com ricota, light, caseira","Lasagna, mushrooms with ricotta cheese, light, homemade",,Alimentos para fins especiais,
C0087N,"Lasanha, frango com ricota, light, caseira (massa lasanha fresca, c/ peito de frango, c/ ricota, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal)","Lasagna, chicken with ricotta cheese, light, homemade",,Alimentos para fins especiais,
C0561A,"Lasanha, frios, caseira","Lasagna, mixed, homemade",,Cereais e derivados,
C0559A,"Lasanha, frutos do mar, caseira","Lasagna, seafood, homemade",,Cereais e derivados,
C0576A,"Lasanha, legumes","Lasagna, vegetables",,Cereais e derivados,
C0109A,"Lasanha, massa fresca, c/ ovos, industrializada, cozida","Pasta, lasagna, industrialized, cooked",,Cereais e derivados,
C0110A,"Lasanha, massa fresca, c/ ovos, industrializada, crua","Pasta, lasagna, raw",,Cereais e derivados,
C0115A,"Lasanha, mini, bolonhesa, congelada","Pasta, lasagna, bolognese, frozen",,Cereais e derivados,Sadia
C0558A,"Lasanha, peito de frango, caseira","Lasagna, breast chicken, homemade",,Cereais e derivados,
C0111A,"Lasanha, pronta, industrializada (média diferentes sabores)","Pasta, lasagna, ready-to-eat, industrialized (average of several flavours)",,Cereais e derivados,
C0798A,"Lasanha, pronta, industrializada, congelada (média de diferentes sabores)","Pasta, lasagna, ready-to-eat, industrialized, frozen (average of several flavours)",,Cereais e derivados,
C0076N,"Lasanha, pronta, industrializada, light","Pasta, lasagna, ready-to-eat, industrialized, light",,Alimentos para fins especiais,
C0113A,"Lasanha, quatro queijos, congelada","Pasta, lasagna, four cheese, frozen",,Cereais e derivados,Sadia
C0894A,"Lasanha, queijos, c/ molho branco, c/ sal, caseira","Lasagna, cheese, with white sauce, with salt, homemade",,Cereais e derivados,
C0088N,"Lasanha, ricota com espinafre, light, caseira","Lasagna, ricotta cheese and spinhach, light, homemade",,Alimentos para fins especiais,
C0560A,"Lasanha, vegetais, caseira","Lasagna, vegetables, homemade",,Cereais e derivados,
C0089N,"Lasanha, vegetariana, light, caseira","Lasagna, vegetarian, light, homemade",,Alimentos para fins especiais,
C0114A,"Lasanha, verde, bolonhesa, congelada","Pasta, lasagna, green, bolognese, frozen",,Cereais e derivados,Sadia
C0723B,"Legumes à parmegiana, c/ sal","Breaded vegetables, with salt",,Vegetais e derivados,
C0724B,"Legumes gratinados, c/ molho branco, c/ queijo parmesão, c/ sal","Gratin vegetables, with white sauce, with parmesan cheese, with salt",,Vegetais e derivados,
C0719B,"Legumes refogados, c/ sal","Braised vegetables, with salt",,Vegetais e derivados,
C0095B,"Legumes, seleta, enlatada, drenada","Vegetables, mixed, canned, drained",,Vegetais e derivados,
C0027G,"Leite, búfala, integral","Milk, Indian buffalo, whole",,Leite e derivados,
C0029G,"Leite, cabra, desnatado, fluído","Milk, goat, low fat, fluid",,Leite e derivados,
C0143G,"Leite, cabra, integral, em pó","Milk, goat, whole, powder",,Leite e derivados,
C0028G,"Leite, cabra, integral, fluído","Milk, goat, whole, fluid",,Leite e derivados,
C0025G,"Leite, humano, colostro","Human milk, colostrum",,Leite e derivados,
C0026G,"Leite, humano, maduro (média de diferentes amostras)",Human milk (average of several samples),,Leite e derivados,
C0146G,"Leite, Nan Comfort 2, reconstituído, s/ açúcar",,,Leite e derivados,
C0147G,"Leite, Nestogeno 1, reconstituído, s/ açúcar",,,Leite e derivados,
C0032G,"Leite, vaca, c/ café, em pó","Milk, cow, with coffee, powder",,Leite e derivados,
C0034G,"Leite, vaca, c/ chocolate","Milk, cow, with chocolate",,Leite e derivados,Toddynho
C0035G,"Leite, vaca, c/ chocolate, em pó","Milk, cow, with chocolate, powder",,Leite e derivados,
C0033G,"Leite, vaca, c/ chocolate, fluído","Milk, cow, with chocolate, fluid",,Leite e derivados,
C0037G,"Leite, vaca, c/chocolate, desnatado","Milk, cow, with, chocolate, low fat",,Leite e derivados,Toddynho
C0030G,"Leite, vaca, condensado","Milk, cow, condensed",,Leite e derivados,
C0038G,"Leite, vaca, desnatado, em pó","Milk, cow, low fat, powder",,Leite e derivados,
C0036G,"Leite, vaca, desnatado, fluído (média de diferentes amostras)","Milk, cow, low fat, fluído (average of several samples)",,Leite e derivados,
C0070G,"Leite, vaca, desnatado, UHT","Milk, cow, low fat, UHT",,Leite e derivados,Vigor
C0031G,"Leite, vaca, fermentado","Leite, cow, cultured",,Leite e derivados,
C0094N,"Leite, vaca, fluído, s/ lactose, integral","Milk, cow, lactose free, whole",,Alimentos para fins especiais,
C0139N,"Leite, vaca, fluído, s/ lactose, semi-desnatado","Milk, cow, lactose free, reduced fat",,Alimentos para fins especiais,
C0041G,"Leite, vaca, integral, em pó","Milk, cow, whole, powder",,Leite e derivados,Ninho
C0039G,"Leite, vaca, integral, em pó (média de várias amostras)","Milk, cow, whole, powder (average of several samples)",,Leite e derivados,
C0042G,"Leite, vaca, integral, em pó, enriquecido c/ vitaminas A e E","Milk, cow, whole, powder, with vitamins A and E",,Leite e derivados,
C0043G,"Leite, vaca, integral, fluído","Milk, cow, whole, fluid",,Leite e derivados,
C0040G,"Leite, vaca, integral, instantâneo, em pó","Milk, cow, whole, powder",,Leite e derivados,Ninho
C0045G,"Leite, vaca, integral, orgânico","Milk, cow, whole, organic",,Leite e derivados,
C0044G,"Leite, vaca, integral, UHT (média de diferentes amostras)","Milk, cow, whole, UHT (average of several samples)",,Leite e derivados,
C0046G,"Leite, vaca, semidesnatado, UHT","Milk, cow, reduced fat, organic",,Leite e derivados,
C0276T,"Lentilha, cozida (50% grão e 50% caldo), c/ óleo de soja, cebola e alho, c/ sal","Lentils, cooked - 50% Beans 50% water, with soy oil, onion and garlic, with salt",,Leguminosas e derivados,
C0277T,"Lentilha, cozida (50% grão e 50% caldo), c/ óleo de soja, cebola e alho, s/ sal","Lentils, cooked - 50% Beans 50% water, with soy oil, onion and garlic, without salt",,Leguminosas e derivados,
C0121T,"Lentilha, cozida, c/ linguiça calabresa, c/ óleo, cebola e alho, c/ sal","Lentils, cooked, with calabrese sausage, with oil, onion and garlic, with salt",,Leguminosas e derivados,
C0120T,"Lentilha, cozida, c/ toucinho defumado (bacon), c/ óleo, cebola e alho, c/ sal","Lentils, cooked, with bacon, with oil, onion and garlic, with salt",,Leguminosas e derivados,
C0078T,"Lentilha, cozida, drenada, c/ óleo, cebola e alho, c/ sal","Lentils, cooked, drained, with oil and spices, with salt",Lens culinaris,Leguminosas e derivados,
C0077T,"Lentilha, cozida, drenada, c/ óleo, cebola e alho, s/ sal","Lentils, cooked, drained, with oil and spices, unsalted",Lens culinaris,Leguminosas e derivados,
C0256T,"Lentilha, cozida, drenada, s/ óleo, c/ sal","Lentil, cooked, drained, without oil, with salt",Lens culinaris,Leguminosas e derivados,
C0018T,"Lentilha, cozida, drenada, s/ óleo, s/ sal","Lentil, cooked, drained, without oil, unsalted",Lens culinaris,Leguminosas e derivados,
C0019T,"Lentilha, crua","Lentil, raw",Lens culinaris,Leguminosas e derivados,
C0062C,"Limão, cravo, in natura","Lemon, ´Cravo´, in natura",Citrus limoniaI Osbeck,Frutas e derivados,
C0777B,"Lingua de vaca, cozida, s/ óleo, s/ sal","Brazilian leaf, ´Língua de vaca´, cooked, without oil, unsalted",Talinum Patens Wand,Vegetais e derivados,
C0776B,"Lingua de vaca, crua","Brazilian leaf, ´Língua de vaca´, raw",Talinum Patens Wand,Vegetais e derivados,
C0901F,"Linguiça, calabresa, à milanesa","Sausage, calabrese, breaded",,Carnes e derivados,
C0899F,"Linguiça, calabresa, assada no forno, s/ óleo, c/ sal","Sausage, calabrese, roasted in oven, without oil, with salt",,Carnes e derivados,
C0900F,"Linguiça, calabresa, cozida, c/ óleo de soja, c/ sal","Sausage, calabrese, cooked, with soy oil, with salt",,Carnes e derivados,
C0896F,"Linguiça, calabresa, cozida, s/ óleo, c/ sal","Sausage, calabrese, cooked, without oil, with salt",,Carnes e derivados,
C0898F,"Linguiça, calabresa, frita, c/ óleo de soja, c/ sal","Sausage, calabrese, fried, with soy oil, with salt",,Carnes e derivados,
C0897F,"Linguiça, calabresa, refogada (c/ óleo, cebola e alho), c/ sal","Sausage, calabrese, braised (with oil, onion and garlic), with salt",,Carnes e derivados,
C0180F,"Linguiça, crua (média de vários tipos)","Sausage, raw (average of several types)",,Carnes e derivados,
C0185F,"Linguiça, frango, crua","Sausage, chicken, raw",,Carnes e derivados,
C0186F,"Linguiça, frango, crua","Sausage, chicken, raw",,Carnes e derivados,Sadia
C0187F,"Linguiça, frango, crua","Sausage, chicken, raw",,Carnes e derivados,Seara
C0812F,"Linguiça, frango, fresca, frita (c/ óleo de soja), s/ sal","Sausage, chicken, fresh, fried (with soy oil), unsalted",,Carnes e derivados,
C0839F,"Linguiça, frango, fresca, frita, c/ adição de gordura, c/ sal","Sausage, chicken, fresh, fried, with oil, with salt",,Carnes e derivados,
C0188F,"Linguiça, frango, grelhada","Sausage, chicken, grilled",,Carnes e derivados,
C0762F,"Linguiça, frango/porco, fresca, crua","Sausage, chicken/pork, fresh, raw",,Carnes e derivados,
C0766F,"Linguiça, frango/porco, fresca, frita (c/ óleo de soja), c/ sal","Sausage, chicken/pork, fresh, fried (with soy oil), with salt",,Carnes e derivados,
C0765F,"Linguiça, frango/porco, fresca, frita (c/ óleo de soja), s/ sal","Sausage, chicken/pork, fresh, fried (with soy oil), unsalted",,Carnes e derivados,
C0770F,"Linguiça, frango/porco, fresca, grelhada/assada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal","Sausage, chicken/pork, fresh, grilled/roasted (tomato, with oil, onion and garlic), with salt",,Carnes e derivados,
C0769F,"Linguiça, frango/porco, fresca, grelhada/assada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal","Sausage, chicken/pork, fresh, grilled/roasted (tomato, with oil, onion and garlic), unsalted",,Carnes e derivados,
C0989F,"Linguiça, frango/porco, fresca, grelhada/assada, c/ óleo de soja, s/ sal","Sausage, chicken/pork, fresh, grilled/roasted, with soy oil, unsalted",,Carnes e derivados,
C0764F,"Linguiça, frango/porco, fresca, grelhada/assada, s/ óleo, c/ sal","Sausage, chicken/pork, fresh, grilled/roasted, without oil, with salt",,Carnes e derivados,
C0763F,"Linguiça, frango/porco, fresca, grelhada/assada, s/ óleo, s/ sal","Sausage, chicken/pork, fresh, grilled/roasted, without oil, unsalted",,Carnes e derivados,
C0768F,"Linguiça, frango/porco, fresca, refogada (c/ óleo, cebola e alho), c/ sal","Sausage, chicken/pork, fresh, braised (with oil, onion and garlic), with salt",,Carnes e derivados,
C0767F,"Linguiça, frango/porco, fresca, refogada (c/ óleo, cebola e alho), s/ sal","Sausage, chicken/pork, fresh, braised (with oil, onion and garlic), unsalted",,Carnes e derivados,
C0183F,"Linguiça, frita","Sausage, fried",,Carnes e derivados,
C0184F,"Linguiça, mista, defumada, crua","Sausage, mixed, smoked, raw",,Carnes e derivados,Sadia
C0181F,"Linguiça, porco, defumada, crua (média de várias amostras)","Sausage, pork, smoked, raw (average of several samples)",,Carnes e derivados,
C0182F,"Linguiça, porco, frescal, crua (média de várias amostras)","Sausage, pork, fresh, raw (average of several samples)",,Carnes e derivados,
C0189F,"Linguiça, porco, grelhada","Sausage, pork, grilled",,Carnes e derivados,
C0191F,"Linguiça, tipo calabresa, fininha","Sausage, calabrese",,Carnes e derivados,Seara
C0190F,"Linguiça, toscana, crua","Sausage, tuscan, raw",,Carnes e derivados,Seara
C0006U,"Linhaça, semente","Linseed, seed",Linum usitatissimum L.,Sementes e Oleaginosas,
C0980F,"Locro, cozido argentino, c/ sal ola e alho, c/ sal)","Locro, Argentinean stew, with salt",,Carnes e derivados,
C0192F,"Lombo, canadense, defumado","Pork, loin, canadian, smoked",,Carnes e derivados,
C0309E,"Lula ensopada com legumes, c/ sal","Squid stewed with vegetables, with salt",,Pescados e Frutos do mar,
C0310E,"Lula ensopada com legumes, s/ sal","Squid stewed with vegetables, unsalted",,Pescados e Frutos do mar,
C0341E,Lula recheada com camarão,Mussel stuffed with shrimp,,Pescados e Frutos do mar,
C0172C,"Maçã , verde, s/ casca, in natura","Apple, green, peeled, raw",Malus domestica,Frutas e derivados,
C0109K,Maçã do amor,Candy apple,,Produtos açucarados,
C0063C,"Maçã, Argentina, c/ casca, in natura","Apple, ´Argentina´, unpeeled, raw",Malus domestica,Frutas e derivados,
C0023C,"Maçã, c/ casca, in natura","Apple, ´Argentina´, unpeeled, raw",Malus spp.,Frutas e derivados,
C0064C,"Maçã, Fuji, c/ casca, in natura","Apple, ´Fuji´, unpeeled, raw",Malus domestica,Frutas e derivados,
C0014U,"Macadâmia, crua, s/ sal","Nuts, macadamia, raw",Macadamia ternifolia,Sementes e Oleaginosas,
C1044A,"Macarrão cremoso, c/ sal","Creamy pasta, with salt",,Cereais e derivados,
C0945A,"Macarrão de arroz, com legumes e camarão, c/ molho shoyu","Rice noodles, with vegetables and shrimp, with shoyu",,Cereais e derivados,
C0942A,"Macarrão de arroz, com legumes e carne bovina, c/ molho shoyu","Rice noodles, with vegetables and meat beef, with shoyu",,Cereais e derivados,
C0944A,"Macarrão de arroz, com legumes e carne suína, c/ molho shoyu","Rice noodles, with vegetables and pork, with shoyu",,Cereais e derivados,
C0943A,"Macarrão de arroz, com legumes e peito de frango, c/ molho shoyu","Rice noodles, with vegetables and breast chicken, with shoyu",,Cereais e derivados,
C0941A,"Macarrão de arroz, com legumes, c/ molho shoyu","Rice noodles, with vegetables, with shoyu",,Cereais e derivados,
C1045A,"Macarrão gratinado, c/ sal","Gratin pasta, with salt",,Cereais e derivados,
C0937A,"Macarrão, arroz, cozido, s/ óleo, s/ sal","Pasta (noodles), rice, boiled, without oil, unsalted",,Cereais e derivados,
C0238A,"Macarrão, c/ molho bolonhesa, c/ sal","Pasta, with bolognese sauce, with salt",,Cereais e derivados,
C0891A,"Macarrão, c/ molho bolonhesa, c/ sal","Pasta, with bolognese sauce, with salt",,Cereais e derivados,
C0192A,"Macarrão, c/ molho bolonhesa, s/ sal","Pasta, with bolognese sauce, unsalted",,Cereais e derivados,
C0885A,"Macarrão, carbonara, c/ sal","Pasta, carbana, with salt",,Cereais e derivados,
C0905A,"Macarrão, carbonara, c/ sal","Pasta, carbonara, with salt",,Cereais e derivados,
C0903A,"Macarrão, carbonara, s/ sal","Pasta, carbonara, unsalted",,Cereais e derivados,
C0907A,"Macarrão, carbonara, s/ sal","Pasta, carbonara, unsalted",,Cereais e derivados,
